2023-07-11 14:10:20.451841, 1550 nm,-32.39 dBm,  0.00 dBm,        CW
2023-07-11 14:10:20.678845, 1550 nm,-32.40 dBm,  0.00 dBm,        CW
2023-07-11 14:10:20.899675, 1550 nm,-32.40 dBm,  0.00 dBm,        CW
2023-07-11 14:10:21.123433, 1550 nm,-32.40 dBm,  0.00 dBm,        CW
2023-07-11 14:10:21.347172, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
2023-07-11 14:10:21.573330, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
2023-07-11 14:10:21.795318, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
2023-07-11 14:10:22.019268, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:22.242188, 1550 nm,-32.43 dBm,  0.00 dBm,        CW
2023-07-11 14:10:22.468678, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:22.693531, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:22.913889, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:23.141061, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:23.364456, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:23.585148, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:23.812663, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:24.033977, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:24.257499, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:24.484247, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:24.707030, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:24.915962, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:25.266316, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:25.438046, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:25.610133, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:25.780454, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:25.952732, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:26.122213, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:26.294726, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:26.464927, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:26.639275, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:26.808007, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:26.978303, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:27.148775, 1550 nm,-32.42 dBm,  0.00 dBm,        CW
2023-07-11 14:10:27.321013, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
2023-07-11 14:10:27.490200, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
2023-07-11 14:10:27.661439, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
2023-07-11 14:10:27.832031, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
2023-07-11 14:10:28.003697, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
2023-07-11 14:10:28.177298, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
2023-07-11 14:10:28.348433, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
2023-07-11 14:10:28.521190, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
2023-07-11 14:10:28.694551, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
2023-07-11 14:10:28.862157, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
2023-07-11 14:10:29.032952, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
2023-07-11 14:10:29.202016, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
2023-07-11 14:10:29.373611, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
2023-07-11 14:10:29.543215, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
2023-07-11 14:10:29.715965, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
2023-07-11 14:10:29.890954, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
2023-07-11 14:10:30.062733, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
2023-07-11 14:10:30.230496, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
2023-07-11 14:10:30.401513, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
2023-07-11 14:10:30.575963, 1550 nm,-32.41 dBm,  0.00 dBm,        CW
